contract_id,attachment_count,source_pdfs,source_txts,merged_txt,attachment_errors
11818299,2,11818299_1.pdf;11818299_2.pdf,11818299_1.txt;11818299_2.txt,11818299.txt,
11818301,1,11818301.pdf,11818301.txt,11818301.txt,
11818304,1,11818304.pdf,11818304.txt,11818304.txt,
11818305,1,11818305.pdf,11818305.txt,11818305.txt,
11818306,1,11818306.pdf,11818306.txt,11818306.txt,
11818312,1,11818312.pdf,11818312.txt,11818312.txt,
11818314,1,11818314.pdf,11818314.txt,11818314.txt,
11818317,1,11818317.pdf,11818317.txt,11818317.txt,
11818320,1,11818320.pdf,11818320.txt,11818320.txt,
11818324,2,11818324_1.pdf;11818324_2.pdf,11818324_1.txt;11818324_2.txt,11818324.txt,
11818325,1,11818325.pdf,11818325.txt,11818325.txt,
11818328,1,11818328.pdf,11818328.txt,11818328.txt,
11818331,2,11818331_1.pdf;11818331_2.pdf,11818331_1.txt;11818331_2.txt,11818331.txt,
11818333,2,11818333_1.pdf;11818333_2.pdf,11818333_1.txt;11818333_2.txt,11818333.txt,
11818334,2,11818334_1.pdf;11818334_2.pdf,11818334_1.txt;11818334_2.txt,11818334.txt,
11818340,1,11818340.pdf,11818340.txt,11818340.txt,
11818341,1,11818341.pdf,11818341.txt,11818341.txt,
11818344,1,11818344.pdf,11818344.txt,11818344.txt,
11818346,1,11818346.pdf,11818346.txt,11818346.txt,
11818348,1,11818348.pdf,11818348.txt,11818348.txt,
11818350,1,11818350.pdf,11818350.txt,11818350.txt,
11818352,1,11818352.pdf,11818352.txt,11818352.txt,
11818354,1,11818354.pdf,11818354.txt,11818354.txt,
11818356,1,11818356.pdf,11818356.txt,11818356.txt,
11818358,1,11818358.pdf,11818358.txt,11818358.txt,
11818360,1,11818360.pdf,11818360.txt,11818360.txt,
11818362,2,11818362_1.pdf;11818362_2.pdf,11818362_1.txt;11818362_2.txt,11818362.txt,
11818364,1,11818364.pdf,11818364.txt,11818364.txt,
11818368,1,11818368.pdf,11818368.txt,11818368.txt,
11818370,1,11818370.pdf,11818370.txt,11818370.txt,
11818372,1,11818372.pdf,11818372.txt,11818372.txt,
11818374,1,11818374.pdf,11818374.txt,11818374.txt,
11818376,1,11818376.pdf,11818376.txt,11818376.txt,
11818378,1,11818378.pdf,11818378.txt,11818378.txt,
11818380,1,11818380.pdf,11818380.txt,11818380.txt,
11818382,1,11818382.pdf,11818382.txt,11818382.txt,
11818383,1,11818383.pdf,11818383.txt,11818383.txt,
11818385,1,11818385.pdf,11818385.txt,11818385.txt,
11818388,1,11818388.pdf,11818388.txt,11818388.txt,
11818389,1,11818389.pdf,11818389.txt,11818389.txt,
11818391,1,11818391.pdf,11818391.txt,11818391.txt,
11818393,1,11818393.pdf,11818393.txt,11818393.txt,
11818395,1,11818395.pdf,11818395.txt,11818395.txt,
11818397,1,11818397.pdf,11818397.txt,11818397.txt,
11818399,1,11818399.pdf,11818399.txt,11818399.txt,
11818401,1,11818401.pdf,11818401.txt,11818401.txt,
11818404,1,11818404.pdf,11818404.txt,11818404.txt,
11818406,1,11818406.pdf,11818406.txt,11818406.txt,
11818408,1,11818408.pdf,11818408.txt,11818408.txt,
11818410,1,11818410.pdf,11818410.txt,11818410.txt,
11818412,1,11818412.pdf,11818412.txt,11818412.txt,
11818414,1,11818414.pdf,11818414.txt,11818414.txt,
11818416,1,11818416.pdf,11818416.txt,11818416.txt,
11818418,1,11818418.pdf,11818418.txt,11818418.txt,
11818419,1,11818419.pdf,11818419.txt,11818419.txt,
11818420,1,11818420.pdf,11818420.txt,11818420.txt,
11818424,1,11818424.pdf,11818424.txt,11818424.txt,
11818426,1,11818426.pdf,11818426.txt,11818426.txt,
11818427,2,11818427_1.pdf;11818427_2.pdf,11818427_1.txt;11818427_2.txt,11818427.txt,
11818430,1,11818430.pdf,11818430.txt,11818430.txt,
11818432,1,11818432.pdf,11818432.txt,11818432.txt,
11818435,1,11818435.pdf,11818435.txt,11818435.txt,
11818437,1,11818437.pdf,11818437.txt,11818437.txt,
11818439,1,11818439.pdf,11818439.txt,11818439.txt,
11818441,1,11818441.pdf,11818441.txt,11818441.txt,
11818444,1,11818444.pdf,11818444.txt,11818444.txt,
11818446,1,11818446.pdf,11818446.txt,11818446.txt,
11818448,1,11818448.pdf,11818448.txt,11818448.txt,
11818450,1,11818450.pdf,11818450.txt,11818450.txt,
11818452,1,11818452.pdf,11818452.txt,11818452.txt,
11818454,1,11818454.pdf,11818454.txt,11818454.txt,
11818456,1,11818456.pdf,11818456.txt,11818456.txt,
11818458,1,11818458.pdf,11818458.txt,11818458.txt,
11818460,1,11818460.pdf,11818460.txt,11818460.txt,
11818462,1,11818462.pdf,11818462.txt,11818462.txt,
11818464,1,11818464.pdf,11818464.txt,11818464.txt,
11818466,1,11818466.pdf,11818466.txt,11818466.txt,
11818468,1,11818468.pdf,11818468.txt,11818468.txt,
11818470,1,11818470.pdf,11818470.txt,11818470.txt,
11818472,1,11818472.pdf,11818472.txt,11818472.txt,
11818474,1,11818474.pdf,11818474.txt,11818474.txt,
11818476,1,11818476.pdf,11818476.txt,11818476.txt,
11818478,1,11818478.pdf,11818478.txt,11818478.txt,
11818480,1,11818480.pdf,11818480.txt,11818480.txt,
